ProviderID,HospitalName,Address,City,State,ZIP,County,Phone,PaymentName,PaymentMeasureID,Category,Denominator,Payment,LowerEst,HigherEst,Footnote,ValueDisplay,ValueDisplayID,CareCategory,CareFootnote,StartDate,EndDate,Location
030077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Payment for heart failure patients,PAYM_30_HF,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"103 MEDICINE WAY ROAD
PERIDOT, AZ
"
030077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Payment for pneumonia patients,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"103 MEDICINE WAY ROAD
PERIDOT, AZ
"
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,9286747001,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"US HWY 191, HOSPITAL ROAD
CHINLE, AZ
"
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,9286747001,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"US HWY 191, HOSPITAL ROAD
CHINLE, AZ
"
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,9286747001,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,110,"$10,415","$9,258","$11,611",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,07/01/2012,06/30/2015 00:00:00,"US HWY 191, HOSPITAL ROAD
CHINLE, AZ
"
031305,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,NAVAJO,9287376000,Payment for heart attack patients,PAYM_30_AMI,Not Available,Not Available,Not Available,Not Available,Not Available,7 - No cases met the criteria for this measure.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"HIGHWAY 264, MILEPOST 388
POLACCA, AZ
"
031305,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,NAVAJO,9287376000,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"HIGHWAY 264, MILEPOST 388
POLACCA, AZ
"
031305,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,NAVAJO,9287376000,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,30,"$12,396","$10,156","$14,614",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,07/01/2012,06/30/2015 00:00:00,"HIGHWAY 264, MILEPOST 388
POLACCA, AZ
"
031308,HUHU KAM MEMORIAL HOSPITAL,483 WEST SEED FARM ROAD,SACATON,AZ,85147,PINAL,5205623321,Payment for heart attack patients,PAYM_30_AMI,Not Available,Not Available,Not Available,Not Available,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,07/01/2012,06/30/2015 00:00:00,"483 WEST SEED FARM ROAD
SACATON, AZ
"
031308,HUHU KAM MEMORIAL HOSPITAL,483 WEST SEED FARM ROAD,SACATON,AZ,85147,PINAL,5205623321,Payment for heart failure patients,PAYM_30_HF,Not Available,Not Available,Not Available,Not Available,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,07/01/2012,06/30/2015 00:00:00,"483 WEST SEED FARM ROAD
SACATON, AZ
"
031308,HUHU KAM MEMORIAL HOSPITAL,483 WEST SEED FARM ROAD,SACATON,AZ,85147,PINAL,5205623321,Payment for pneumonia patients,PAYM_30_PN,Not Available,Not Available,Not Available,Not Available,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,07/01/2012,06/30/2015 00:00:00,"483 WEST SEED FARM ROAD
SACATON, AZ
"
031309,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,9287554541,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"STATE ROUTE 264 SOUTH 191
GANADO, AZ
"
031309,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,9287554541,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"STATE ROUTE 264 SOUTH 191
GANADO, AZ
"
031309,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,9287554541,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,59,"$13,559","$11,597","$15,508",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"STATE ROUTE 264 SOUTH 191
GANADO, AZ
"
030113,WHITERIVER PHS INDIAN HOSPITAL,200 WEST HOSPITAL DRIVE  (PO BOX 860),WHITERIVER,AZ,85941,NAVAJO,9283384911,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"200 WEST HOSPITAL DRIVE (PO BOX 860)
WHITERIVER, AZ
(33.875976, -109.959528)"
030055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86409,MOHAVE,9287572101,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,312,"$14,690","$13,681","$15,719",,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,07/01/2012,06/30/2015 00:00:00,"3269 STOCKTON HILL ROAD
KINGMAN, AZ
(35.136596, -114.232528)"
030108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,MARICOPA,6027956020,Payment for heart attack patients,PAYM_30_AMI,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"6501 NORTH 19TH AVENUE
PHOENIX, AZ
(33.531837, -112.099636)"
030117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426,MOHAVE,9287887252,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,115,"$13,422","$11,996","$14,835",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"5330 SOUTH HIGHWAY 95
FORT MOHAVE, AZ
(35.004167, -114.597968)"
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,MARICOPA,6238796100,Payment for heart failure patients,PAYM_30_HF,Greater than the National Average Payment,194,"$17,849","$16,273","$19,578",,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and higher payment,,07/01/2012,06/30/2015 00:00:00,"19829 NORTH 27TH AVENUE
PHOENIX, AZ
(33.666521, -112.117188)"
030010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,PIMA,5208723000,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,144,"$14,665","$13,287","$16,016",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"1601 WEST ST MARY'S ROAD
TUCSON, AZ
(32.228884, -110.999567)"
030016,BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85222,PINAL,5203816300,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,258,"$15,701","$14,517","$16,864",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"1800 EAST FLORENCE BOULEVARD
CASA GRANDE, AZ
(32.879608, -111.709253)"
030065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,MARICOPA,4804123000,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,318,"$16,512","$15,361","$17,682",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and higher payment,,07/01/2012,06/30/2015 00:00:00,"1400 SOUTH DOBSON ROAD
MESA, AZ
(33.39091, -111.874624)"
030065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,MARICOPA,4804123000,Payment for heart failure patients,PAYM_30_HF,Greater than the National Average Payment,281,"$18,459","$17,095","$19,881",,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and higher payment,,07/01/2012,06/30/2015 00:00:00,"1400 SOUTH DOBSON ROAD
MESA, AZ
(33.39091, -111.874624)"
030007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,YAVAPAI,9286396058,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,152,"$15,142","$13,663","$16,579",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"269 SOUTH CANDY LANE
COTTONWOOD, AZ
(34.73619, -112.031778)"
033301,"LOS NINOS HOSPITAL, INC.",2303 EAST THOMAS,PHOENIX,AZ,85016,MARICOPA,6029547311,Payment for pneumonia patients,PAYM_30_PN,Not Available,Not Available,Not Available,Not Available,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,07/01/2012,06/30/2015 00:00:00,"2303 EAST THOMAS
PHOENIX, AZ
(33.480287, -112.032316)"
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,MARICOPA,6238796100,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,128,"$23,287","$20,995","$25,720",,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"19829 NORTH 27TH AVENUE
PHOENIX, AZ
(33.666521, -112.117188)"
031300,WICKENBURG COMMUNITY HOSPITAL,520 ROSE LANE,WICKENBURG,AZ,85390,MARICOPA,9286845421,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"520 ROSE LANE
WICKENBURG, AZ
(33.978047, -112.74196)"
030087,SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260,MARICOPA,4803233000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,244,"$22,887","$21,164","$24,797",,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"9003 EAST SHEA BOULEVARD
SCOTTSDALE, AZ
(33.582467, -111.886032)"
030083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,AZ,85032,MARICOPA,6029235000,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,69,"$16,516","$14,487","$18,874",,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"3929 EAST BELL ROAD
PHOENIX, AZ
(33.640603, -111.997692)"
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,NAVAJO,9285376399,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,118,"$14,209","$12,632","$15,732",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"2200 EAST SHOW LOW LAKE ROAD
SHOW LOW, AZ
(34.201967, -110.01839)"
030131,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ,85008,MARICOPA,6027977700,Payment for pneumonia patients,PAYM_30_PN,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"750 NORTH 40TH STREET
PHOENIX, AZ
(33.45672, -111.99521)"
031300,WICKENBURG COMMUNITY HOSPITAL,520 ROSE LANE,WICKENBURG,AZ,85390,MARICOPA,9286845421,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"520 ROSE LANE
WICKENBURG, AZ
(33.978047, -112.74196)"
030043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,COCHISE,5204173001,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,151,"$16,368","$14,905","$18,100",,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"5700 EAST HIGHWAY 90
SIERRA VISTA, AZ
(31.55463, -110.232095)"
030024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,MARICOPA,6024065001,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,87,"$14,691","$12,939","$16,384",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"350 WEST THOMAS ROAD
PHOENIX, AZ
(33.480294, -112.079208)"
030122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,MARICOPA,4805432000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,27,"$24,190","$20,929","$28,049",,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"1900 NORTH HIGLEY ROAD
GILBERT, AZ
(33.384225, -111.719634)"
030115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,MARICOPA,6233274000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,112,"$21,797","$19,653","$24,323",,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"9201 WEST THOMAS ROAD
PHOENIX, AZ
(33.479558, -112.257936)"
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,AZ,85713,PIMA,5208742000,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,83,"$15,782","$13,984","$17,735",,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"2800 EAST AJO WAY
TUCSON, AZ
(32.177882, -110.930891)"
031315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,AZ,85938,APACHE,9283334368,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"118 SOUTH MOUNTAIN AVENUE
SPRINGERVILLE, AZ
(34.132136, -109.286545)"
030010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,PIMA,5208723000,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,180,"$15,014","$13,642","$16,482",,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"1601 WEST ST MARY'S ROAD
TUCSON, AZ
(32.228884, -110.999567)"
030037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,MARICOPA,6022518156,Payment for heart failure patients,PAYM_30_HF,Greater than the National Average Payment,59,"$18,303","$16,034","$20,968",,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and higher payment,,07/01/2012,06/30/2015 00:00:00,"1800 EAST VAN BUREN STREET
PHOENIX, AZ
(33.451436, -112.042767)"
030085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,PIMA,5204698100,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,430,"$15,191","$14,299","$16,082",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"6200 NORTH LA CHOLLA BOULEVARD
TUCSON, AZ
(32.319581, -111.012054)"
030119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296,MARICOPA,4807288000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,107,"$23,532","$21,141","$26,312",,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"3555 SOUTH VAL VISTA DRIVE
GILBERT, AZ
(33.286661, -111.755311)"
031304,PAGE HOSPITAL,501 NORTH NAVAJO DRIVE,PAGE,AZ,86040,COCONINO,9286452424,Payment for pneumonia patients,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,07/01/2012,06/30/2015 00:00:00,"501 NORTH NAVAJO DRIVE
PAGE, AZ
(36.91696, -111.463186)"
030130,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,SAN TAN VALLEY,AZ,85140,PINAL,4803944030,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,27,"$14,404","$12,230","$16,801",,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"37000 NORTH GANTZEL ROAD
SAN TAN VALLEY, AZ
(33.215299, -111.563446)"
031314,COBRE VALLEY REGIONAL MEDICAL CENTER,5880 SOUTH HOSPITAL DRIVE,GLOBE,AZ,85501,GILA,9284253261,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,183,"$12,510","$11,421","$13,630",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,07/01/2012,06/30/2015 00:00:00,"5880 SOUTH HOSPITAL DRIVE
GLOBE, AZ
(33.407206, -110.826224)"
030061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,MARICOPA,6238324000,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,533,"$15,304","$14,482","$16,105",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"10401 WEST THUNDERBIRD BOULEVARD
SUN CITY, AZ
(33.604802, -112.28344)"
030088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,4806845898,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,45,"$22,268","$19,624","$25,464",,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"6644 EAST BAYWOOD AVENUE
MESA, AZ
(33.41047, -111.687166)"
031315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,AZ,85938,APACHE,9283334368,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,32,"$16,403","$13,746","$19,006",,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,07/01/2012,06/30/2015 00:00:00,"118 SOUTH MOUNTAIN AVENUE
SPRINGERVILLE, AZ
(34.132136, -109.286545)"
